Lettre	Date	Lieu de création	Auteur	Destinataire	Personnes mentionnées	Lieux mentionnés	Œuvres mentionnées
1865_15	1865-11-23	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Hardy -Alan, Manet, Edouard Vélasquez, Diego Scholderer, Adolphe Proudhon, Pierre-Joseph Müller, Victor Burnitz, Karl Peter Rembrandt Ritter	Paris Francfort-sur-le-Main Londres, National Gallery Paris, Exposition Universelle, 1867 Paris, Salon	F Copie, quatrième version des Noces de Cana de Véronèse (1562)
1865_16	1865-12	[Francfort-sur-le-Main]	Scholderer, Otto	Fantin-Latour, Henri	Hardy -Alan, Rothschild, Famille Proudhon, Pierre-Joseph Scholderer, Adolphe Reiß, Jacques Schreyer, Adolphe Burnitz, Karl Peter Müller, Victor Chardin, Jean-Baptiste Siméon Ritter	Londres Paris Paris, Musée du Louvre Francfort-sur-le-Main Düsseldorf Paris, Salon Kronberg im Taunus	F Copie, cinquième version des Noces de Cana de Véronèse (1562) S Jäger und Hirsch (chasseur et cerf) F Le toast et La vérité
1866_01	1866-03-04	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Rothschild, Famille Hardy -Alan, Müller, Victor Burnitz, Karl Peter Vélasquez, Diego Rembrandt Watteau, Antoine Chardin, Jean-Baptiste Siméon Scholderer, Emilie La Caze, Louis	Paris, galerie Lacaze Londres Paris Munich Francfort-sur-le-Main Düsseldorf	S Stilleben zur Dekoration eines Speisezimmers (natures mortes pour la décoration d'une salle à manger) S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume) S Stilleben mit totem Reh (nature morte au chevreuil)
1866_02	1866-11-07	Düsseldorf, Adlerstrasse chez Mr. Fabriz	Scholderer, Otto	Fantin-Latour, Henri	Burnitz, Karl Peter Achenbach, Andreas Achenbach, Oswald Courbet, Gustave Manet, Edouard Whistler, James Abbott MacNeill Steinhardt, Karl-Friedrich	Paris Francfort-sur-le-Main Düsseldorf Paris, Salon	S Knabe mit Hund und Wildbret (garçon avec chien et gibier) F Portrait de sa sœur Marie
1867_01	1867-06-03	[Düsseldorf]	Scholderer, Otto	Fantin-Latour, Henri	Fantin-Latour, Hélène Couture, Thomas Achenbach, Andreas Courbet, Gustave Millet, Jean-François Corot, Jean-Baptiste Camille Daubigny, Charles-François Ritter Röth, Philipp Thoma, Hans	Paris Düsseldorf Paris, Exposition Universelle, 1867 Paris, Salon	
1867_02	1867-07-26	Düsseldorf	Scholderer, Otto	Fantin-Latour, Henri	Fantin-Latour, Hélène	Düsseldorf	
1867_03	1867-12-12	Düsseldorf Adlerstrasse 22	Scholderer, Otto	Fantin-Latour, Henri	Daubigny, Charles-François Corot, Jean-Baptiste Camille Courbet, Gustave Rousseau, Théodore Knaus, Ludwig Gérôme, Jean-Léon Röth, Philipp Thoma, Hans Burnitz, Karl Peter Balleroy, Albert de Ritter, Francine Ritter, Monsieur Troyon, Constant	Zons-sur-le-Rhin Berlin Karlsruhe Munich Düsseldorf Vienne Paris, Exposition Universelle, 1867 Paris, Salon	S Küchenstilleben mit Rehbock und junger Frau, die eine Ente rupft (nature morte de cuisine avec un chevreuil et une jeune femme plumant un canard) S Jäger und Hirsch (chasseur et cerf) S Stilleben mit totem Auerhahn (nature morte avec un coq de bruyère mort) S Küchenstilleben mit junger Frau (nature morte de cuisine avec une jeune femme) F Esquisse pour le portrait de la famille Fitz-James S Stilleben mit Schnepfen und einem Hasen (nature morte avec bécasse et lièvre)
1868_01	1868	Kirnbach b. Hausach Gr. Baden	Scholderer, Otto	Fantin-Latour, Henri	Manet, Edouard Courbet, Gustave Scholderer, Ida Müller, Victor Corot, Jean-Baptiste Camille Delacroix, Eugène Ritter Wagner, Richard Colin Beethoven, Ludwig van Mozart, Wolfgang Amadeus Steinhardt, Karl-Friedrich Schreyer, Adolphe Millet, Jean-François	Paris Munich Düsseldorf Paris, Salon	S Schwarzwaldmühle in Kirnbach bei Schiltach (moulin de la Forêt-Noire à Kirnbach près de Schiltach) S Landschaft im Kinzigtal mit einem Paar Ochsen und Figuren, Haus im Hintergrund (paysage de Kinzigtal avec quelques bœufs et figures, une maison à l'arrière-plan) S Viehstudien (étude de bétail) S Jungvieh im Stall (jeune bétail dans l'étable) S Landschaft im Kinzigtal (paysage de Kinzigtal) S Landschaft, Abendstimmung im Kinzigtal (paysage, atmosphère du soir à Kinzigtal)
1869_01	1869-10-28	Francfort sur le Main Eschenheimer Strasse 29	Scholderer, Otto	Fantin-Latour, Henri	Müller, Victor Scholderer, Ida Corot, Jean-Baptiste Camille Courbet, Gustave Manet, Edouard Vélasquez, Diego Doré, Gustave La Caze, Louis Balzac, Honoré de Fantin-Latour, Jean-Théodore Fry, Clarence Edmund Du Maurier, Georges Louis Palmella Busson	Londres Paris, Musée du Louvre Francfort-sur-le-Main Bruxelles, Salon Munich, Exposition internationale, 1869 Munich, Glaspalast de Munich Paris, Salon Kronberg im Taunus	F Un atelier aux Batignolles S Landschaft (paysage) S Stilleben (nature morte) S Ein Hirsch im Wald (un cerf dans la forêt)
1869_02	1869-12-05	Francfort-sur-le-Main, Eschenheimerstrasse 29	Scholderer, Otto	Fantin-Latour, Henri	Whistler, James Abbott MacNeill Legros, Alphonse Müller, Victor Fantin-Latour, Jean-Théodore Manet, Edouard Fitz James,	Paris, galerie Lacaze Paris Paris, Musée du Louvre Francfort-sur-le-Main Paris, Salon	F Esquisse pour le portrait de la famille Fitz-James F Un atelier aux Batignolles S Ein Hirsch im Wald (un cerf dans la forêt)
