ID	Auteur	No de catalogue	Titre	Date	Technique	Dimensions	Lieu de conservation	Renvoi dans lettre no
#17714	Fantin	F.669	A la mémoire de Robert Schumann	1873	huile sur toile	31 x 18,7 cm	non localisé	1873_03
#17715	Fantin	F.671	Nature morte  : coin de table	1873	huile sur toile	97,2 x 125,1 cm	Chicago, Art Institute	1873_03 1873_04 1873_05 1874_01 1874_02
#17716	Fantin	F.706	Fleurs et objets divers	1874	huile sur toile	116 x 90 cm	Göteborg, Museum of Art	1874_03 1874_04 1874_06 1874_07
#17717	Fantin	F.710	Fleurs (touffe de rhododendrons sur fond clair)		huile sur toile	54 x 57 cm	Cologne, Wallraf-Richartz-Museum	1874_03
#17718	Fantin	F.712	Pivoines blanche boules de neige	1874	huile sur toile	61 x 50 cm	Lausanne, Fondation de l’Hermitage	1874_05
#17719	Fantin	F.719	Dahlias (Dahlias dans un vase de porcelaine blanc et bleu, fond clair)	1874	huile sur toile	55 x 50 cm	Zurich, Walter Feilchenfeldt	1874_07 1890_06
#17670	Fantin	F.72	Copie d'après Les noces de Cana de Véronèse (1562)	1856	huile sur toile	200 cm de large environ	non localisé	1858_03
#17720	Fantin	F.737	Copie d'après Femmes d'Alger dans leur appartement (1834) de Delacroix	1876	huile sur toile	toile d’environ 1 mètre	non localisé	1876_04 1896_01
#17721	Fantin	F.738	Portrait de Mr et Mrs Edwin Edwards	1875	huile sur toile	130,5 x 98 cm	Londres, Tate Gallery	1874_08 1875_01 1875_02 1875_04 1875_05 1875_08 1875_11 1875_12 1875_18 1876_01 1876_03 1876_05
#17722	Fantin	F.739	Portrait de Miss Edith Crowe	1875	huile sur toile	76 x 60 cm	Los Angeles, Armand Hammer Foundation	1875_03 1875_05
#17723	Fantin	F.740	L'anniversaire	1875	huile sur toile	62 x 52,5 cm	Otterlo, Kröller-Müller Museum	1874_08 1876_02 1884_05 1884_06
#17724	Fantin	F.743	Fleurs (Azalées blanches et violettes de Parme)	1875	huile sur toile	51 x 57 cm	Buenos Aires, Museo de Bellas Artes	1875_08
#17725	Fantin	F.746	Roses (Roses de Perse jaunes dans un verre à pied, petit feuillage)	1875	huile sur toile		Collection particulière	1875_10
#17726	Fantin	F.765	Fruits (Raisin sortant d'un panier et grenade)	1875	huile sur toile	30 x 42 cm	Collection particulière	1876_05
#17727	Fantin	F.766	Fleurs (bouquet de dahlias)	1875	huile sur toile		non localisé	1875_16 1876_02 1876_03 1876_05 1876_06 1876_07 1876_08 1876_09 1876_10
#18433	Fantin	F.772	L'anniversaire	1876	huile sur toile	220 x 170 cm		1876_02 1876_03 1876_04 1876_05 1876_06 1876_07 1876_08 1876_09
#17729	Fantin	F.783	Roses jaunes et roses	1876	huile sur toile	44,5 x 41 cm	non localisé	1877_01
#17730	Fantin	F.784	Pivoines	1876	huile sur toile	51 x 45 cm	Montréal, musée des Beaux-Art	1876_15 1882_04
#17731	Fantin	F.787	Fleurs et fruits	1876	huile sur toile		Collection particulière	1876_17
#17732	Fantin	F.788	Pieds-d'alouette	1876	huile sur toile		non localisé	1876_15 1876_16 1882_06 1883_01 1888_05
#17733	Fantin	F.791	Roses jaunes Falcon	1876	huile sur toile		Collection particulière	1877_01
#17734	Fantin	F.793	Fleurs (roses jaunes dans un verre haut)	1876	huile sur toile	47 x 34,5 cm	Paris, galerie Schmit	1876_08 1876_09
#17735	Fantin	F.824	La lecture	1877	huile sur toile	100 x 138 cm	Lyon, musée des Beaux-Arts	1877_02 1877_03 1877_04 1877_07 1878_02 1878_03 1878_05 1878_06 1878_07 1878_14 1878_15 1878_16
#17736	Fantin	F.825	Portrait de Madame Fantin-Latour	1877	huile sur toile	98 x 79 cm	Grenoble, musée de Grenoble	1877_02 1877_03 1877_04 1877_06 1877_07
#17737	Fantin	F.826	Scène première du Rheingold Souvenir de Bayreuth	1877	pastel sur lithographie	52,5 x 33,7 cm	Paris, musée du Louvre, cabinet des Dessins	1877_04
#17738	Fantin	F.827	Scène finale de la Walküre	1877	huile sur toile	37,5 x 45,3 cm	non localisé	1877_04
#17739	Fantin	F.837	La tentation de saint Antoine	1877	huile sur toile	19 x 25 cm	Collection particulière	1877_08 1881_04 1892_01 1894_03
#17740	Fantin	F.845	Oeillets sur fond rouge	1877	huile sur toile	43,5 x 50,5	Collection particulière	1878_01
#17741	Fantin	F.867	La famille Dubourg	1878	huile sur toile	146,5 x 170,5 cm	Paris, musée d’Orsay	1875_15 1878_01 1878_02 1878_03 1878_05 1878_06 1878_08 1878_09 1878_10 1878_14 1878_16 1879_06 1879_10 1880_06
#17671	Fantin	F.91	Copie d'après La mise au tombeau de Titien (vers 1525)	1858	huile sur toile	148 x 212 cm	Paris, musée du Louvre	1859_02
#17672	Fantin	F.92	Copie d'après La mise au tombeau de Titien (vers 1525)	1858	huile sur toile	65 x 81 cm	Mexico, Museo de Bellas Artes	1859_02
#18521	Fantin	F.920	Portraits ou la leçon de dessin dans l'atelier	1879	huile sur toile	145 x 170 cm	Bruxelles, musées royaux des Beaux-Arts de Belgique	1879_06 1879_11 1879_12 1879_13 1879_14 1879_15 1879_18 1879_21 1879_22 1880_02 1880_04 1880_05 1880_06 1880_07 1880_10 1880_11 1880_14 1881_03
#17673	Fantin	F.93	Copie d'après La Vierge de Séville de Murillo (1665)	1858	huile sur toile		non localisé	1858_03
#18539	Fantin	F.937	Fleurs (hortensias, giroflées, deux pots de pensées)	1879	huile sur toile		Collection particulière	1879_11 1879_13
#17674	Fantin	F.94	Autoportrait assis devant son chevalet	1858	huile sur toile	102 x 72 cm	Berlin, Nationalgalerie	1858_04 1858_05 1862_01 1872_04 1873_05
#18544	Fantin	F.942	Pivoines, gros bouquet	1879	huile sur toile		non localisé	1879_15
#17675	Fantin	F.95	Autoportrait debout, la palette à la main	1858	huile sur toile	88 x 61 cm	Anvers, Koninklijk Museum voor Schone Kunst	1858_04 1858_05 1862_01 1872_04 1873_05 1900_03
#17743	Fantin	F.951	Roses thé et thé noisette	1879	huile sur toile	43,9 x 38 cm	Manchester, Art Galleries	1880_01
#17744	Fantin	F.953	Chrysanthèmes jaunes	1879	huile sur toile	61 x 48,3 cm	Glasgow, Art Gallery and Museum	1880_01
#17745	Fantin	F.954	Raisins dans un panier	1879	huile sur toile		non localisé	1880_01
#17676	Fantin	F.96	Portrait d'Alphonse Legros	1858	huile sur toile	52,2 x 45,3 cm	Toronto, collection Mr. & Mrs. Joseph M. Tanenbaum	1858_04 1858_05 1862_01 1872_04 1873_05
#17677	Fantin	F.97	Les deux sœurs	1858	huile sur toile	70 x 95 cm	non localisé	1858_04 1859_02 1862_01 1872_04 1873_01 1873_05 1874_02
#17746	Fantin	F.974	Paris-Murcie	1879	crayon noir sur papier vergé			1880_02 1880_05
#17747	Fantin	F.985	Finale du Rheingold	1880	huile sur toile	98 x 79 cm	non localisé	1877_05 1880_02 1880_05 1890_03 1890_04
#17748	Fantin	F.986	Portrait de Mademoiselle L.R. (Louise Riesener)	1880	huile sur toile	100 x 80 cm	Grenoble, musée de Grenoble	1880_02 1880_04 1880_05 1881_03 1881_04
#17749	Fantin	F.987	La Musique	1880	pastel et grattoir par-dessus fusain sur toile	53 x 42 cm	États-Unis, collection particulière	1880_02 1880_05
#17750	Fantin	F.989	Ondine	1880	huile sur toile	30 x 44 cm	Collection particulière	1880_07 1899_04
#17751	Fantin	F.994	Pêches dans une assiette	1880	huile sur toile	26 x 34 cm	Rouen, musée des BeauxArts	1881_07 1881_08 1881_12
#17752	Fantin	F.996	Tulipes de toutes couleurs	1880	huile sur toile	59 x 48 cm	non localisé	1880_05 1880_07 1880_15
#17753	Fantin	F.998	Pluie d'or	1880		72 x 56 cm	non localisé	1880_07 1880_15
#17754	Fantin	F.999	Panier de roses	1880	huile sur toile	51 x 63 cm	non localisé	1880_12
#17916	Fantin	H.10	Duo des Troyens	1876	lithographie	30 x 22,2 cm		1877_03 1879_06 1894_05
#17977	Fantin	H.100	Scène finale de la Götterdammerung	1892	lithographie	43,8 x 29,7 cm		1891_04
#17979	Fantin	H.107	Manfred et Astarté	1892	lithographie	30,5 x39 cm		1879_06 1881_04 1893_01
#17980	Fantin	H.108	A Robert Schumann (1re planche)	1892	lithographie	35,2 x 40,3 cm		1893_01
#17985	Fantin	H.113	Déposition de croix	1893	lithographie	31,1 x 45,4 cm		1894_02 1894_03 1894_04
#17986	Fantin	H.114	Ballet des Troyens	1893	lithographie	42,5 x 52 cm		1894_02 1894_03
#17988	Fantin	H.116	Duo des Troyens	1894	lithographie	29,2 x 22,4 cm		1879_06
#17989	Fantin	H.117	Scène des Troyens	1894	lithographie	29,4 x 22,3 cm		1894_05
#17990	Fantin	H.118	Sémiramide	1894	lithographie	37 x 27 cm		1894_05
#17991	Fantin	H.119	Dernier thème de R. Schumann	1895	lithographie	45 x 32,7 cm		1894_05
#17992	Fantin	H.120	A Berlioz	1895	lithographie	21,4 x 14,2 cm		1894_05
#17993	Fantin	H.125	Baigneuse	1896	lithographie sur papier japon fin	22,8 x 28,4 cm		1894_03 1896_11
#17994	Fantin	H.128	Baigneuses (3e grande planche)	1896	lithographie	28,7 x 43,4 cm		1896_11
#18519	Fantin	H.21	Manfred et Astarté	1879	lithographie	24,3 x 31 cm		1879_06 1879_07
#18518	Fantin	H.22	Duo des Troyens	1878	lithographie	30 x 22,2 cm		1879_06 1879_07
#17917	Fantin	H.23	Début de la Walkyrie	1879	lithographie	23,2 x 31 cm		1879_06 1879_07
#17918	Fantin	H.24	Scène finale de la Walküre	1879	lithographie	22 x 27 cm		1879_06 1879_07
#17919	Fantin	H.25	Étoile du soir	1879	lithographie	30,7 x 22 cm		1878_11 1879_06 1879_07
#17920	Fantin	H.26	Bouquet de roses	1879	lithographie	41,7 x 35,5 cm		1880_01 1880_02
#17921	Fantin	H.28	L'enfance du Christ	1880		47,4 x 35,6 cm		1881_03 1888_05
#17922	Fantin	H.29	Poèmes d'amour	1880		44 x 35,5 cm		1894_02
#17923	Fantin	H.30	La prise de Troie  : apparition d'Hector	1880	lithographie	32,4 x 39 cm		1880_02 1880_07
#17928	Fantin	H.37	Baigneuses (1re grande planche)	1881	lithographie	27 x 41 cm		1881_11 1881_12
#17929	Fantin	H.38	Baigneuses (2e grande planche)	1881	lithographie	34,7 x 36,2 cm		1881_11 1881_12
#17931	Fantin	H.40	Solitude , mélodie de Schumann	1882	lithographie	50 x 0,35 cm		1882_04
#17932	Fantin	H.41	Lohengrin	1882	lithographie	40,8 x 28 cm		1886_04
#17933	Fantin	H.45	Le poète et la Muse	1883	lithographie	31,5 x 18,5 cm		1883_04 1891_04
#17935	Fantin	H.47	Nuit de printemps	1883	lithographie : crayon et grattoir, Chine collé	37 x 37,5 cm		1883_04 1884_04 1884_05 1884_06 1884_09 1884_10
#17936	Fantin	H.48	Étoile du soir, pour le Tannhäuser de Wagner	1884	lithographie : crayon et grattoir, Chine collé	39,7 x 29,7 cm		1884_06 1884_10
#17937	Fantin	H.49	Pour Harold de Berlioz	1884	lithographie	43 x 29,5 cm		1884_06
#17911	Fantin	H.5	A la mémoire de Robert Schumann	1873	lithographie	30,5 x 19 cm		1873_03 1874_02 1874_03 1878_11
#17938	Fantin	H.50	Le paradis et la péri de R. Schumann	1884	lithographie	37 x 40 cm		1884_06 1894_02 1894_03
#17941	Fantin	H.56	Frontispice	1886	lithographie sur Chine collé sur vélin	46 x 32,5 cm		1881_03 1881_04 1886_04
#17942	Fantin	H.58	Poème d'amour	1886	lithographie	44,2 x 31,4 cm		1886_04
#17912	Fantin	H.6	La fée des Alpes	1873	rayon et grattoir, Chine collé	32,2 x 43 cm		1874_02 1874_03 1878_11
#17944	Fantin	H.62	Inspiration	1886	lithographie	22,8 x 15 cm		1887_03
#17945	Fantin	H.63	Rienzi	1886	lithographie	22,8 x 15 cm		1887_03
#17946	Fantin	H.64	Vaisseau fantôme  ; acte III, Ravissement de Senta et du Hollandais	1886	lithographie	22,8 x 15 cm		1886_04
