fichier,résultat
sentence611,négatif
sentence612,neutral
sentence613,positif
sentence614,positif
sentence615,positif
sentence616,neutral
sentence617,positif
sentence618,neutral
sentence619,positif
sentence620,neutral
sentence621,neutral
sentence622,neutral
sentence623,positif
sentence624,neutral
sentence625,négatif
sentence626,négatif
sentence627,positif
sentence628,positif
sentence629,négatif
sentence630,neutral
sentence631,neutral
sentence632,positif
sentence633,positif
sentence634,positif
sentence635,neutral
sentence636,neutral
sentence637,positif
sentence638,neutral
sentence639,positif
sentence640,négatif
sentence641,neutral
sentence642,neutral
sentence643,neutral
sentence644,négatif
sentence645,négatif
sentence646,positif
sentence647,neutral
sentence648,positif
sentence649,positif
sentence650,neutral
sentence651,neutral
sentence652,positif
sentence653,positif
sentence654,positif
sentence655,négatif
sentence656,négatif
sentence657,positif
sentence658,neutral
sentence659,neutral
sentence660,neutral
sentence661,négatif
sentence662,neutral
sentence663,négatif
sentence664,négatif
sentence665,négatif
sentence666,neutral
sentence667,positif
sentence668,négatif
sentence669,positif
sentence670,neutral
sentence671,négatif
sentence672,neutral
sentence673,neutral
sentence674,neutral
sentence675,négatif
sentence676,neutral
sentence677,positif
sentence678,neutral
sentence679,négatif
sentence680,positif
sentence681,négatif
sentence682,positif
sentence683,neutral
sentence684,positif
sentence685,neutral
sentence686,neutral
sentence687,neutral
sentence688,positif
sentence689,positif
sentence690,neutral
sentence691,neutral
sentence692,neutral
sentence693,neutral
sentence694,neutral
sentence695,neutral
sentence696,négatif
sentence697,neutral
sentence698,positif
sentence699,positif
sentence700,positif
sentence701,neutral
sentence702,neutral
sentence703,positif
sentence704,neutral
sentence705,positif
sentence706,négatif
sentence707,positif
sentence708,négatif
sentence709,négatif
sentence710,neutral
sentence711,neutral
sentence712,positif
sentence713,négatif
sentence714,neutral
sentence715,négatif
sentence716,négatif
sentence717,positif
sentence718,négatif
sentence719,positif
sentence720,neutral
sentence721,positif
sentence722,négatif
sentence723,positif
sentence724,négatif
sentence725,neutral
sentence726,neutral
sentence727,neutral
sentence728,positif
sentence729,neutral
sentence730,positif
sentence731,positif
sentence732,positif
sentence733,neutral
sentence734,neutral
sentence735,neutral
sentence736,neutral
sentence737,neutral
sentence738,positif
sentence739,positif
sentence740,positif
sentence741,positif
sentence742,positif
sentence743,neutral
sentence744,positif
sentence745,positif
sentence746,positif
sentence747,neutral
sentence748,positif
sentence749,positif
sentence750,négatif
sentence751,neutral
sentence752,positif
sentence753,neutral
sentence754,négatif
sentence755,positif
sentence756,positif
sentence757,positif
sentence758,positif
sentence759,neutral
sentence760,négatif
sentence761,positif
sentence762,positif
sentence763,neutral
sentence764,négatif
sentence765,positif
sentence766,neutral
sentence767,positif
sentence768,positif
sentence769,positif
sentence770,négatif
sentence771,négatif
sentence772,neutral
sentence773,positif
sentence774,positif
sentence775,positif
sentence776,négatif
sentence777,neutral
sentence778,positif
sentence779,neutral
sentence780,positif
sentence781,neutral
sentence782,neutral
sentence783,neutral
sentence784,positif
sentence785,positif
sentence786,neutral
sentence787,négatif
sentence788,neutral
sentence789,positif
sentence790,neutral
sentence791,neutral
sentence792,neutral
sentence793,neutral
sentence794,neutral
sentence795,neutral
sentence796,positif
sentence797,neutral
sentence798,neutral
sentence799,neutral
sentence800,neutral
sentence801,positif
sentence802,positif
sentence803,neutral
sentence804,neutral
sentence805,neutral
sentence806,négatif
sentence807,négatif
sentence808,neutral
sentence809,neutral
sentence810,positif
sentence811,positif
sentence812,positif
sentence813,positif
sentence814,positif
sentence815,neutral
sentence816,positif
sentence817,négatif
sentence818,négatif
sentence819,neutral
sentence820,neutral
sentence821,neutral
sentence822,positif
sentence823,positif
sentence824,positif
sentence825,positif
