,url,long,lat
174,https://www.geonames.org/2994144,2.235,48.81381
175,https://www.geonames.org/2935393,7.21064,50.66546
176,https://www.geonames.org/745044,28.94966,41.01384
177,https://www.geonames.org/2871039,8.91455,52.28953
178,https://www.geonames.org/3016913,4.74286,46.28087
179,https://www.geonames.org/2990109,0,49
180,https://www.geonames.org/3186952,15.22514,44.11578
181,https://www.geonames.org/2992890,4.06525,45.60752
182,https://www.geonames.org/6255146,21.09375,7.1881
183,https://www.geonames.org/3176959,11.24626,43.77925
184,https://www.geonames.org/2802361,4.5,50.75
185,https://www.geonames.org/2751283,5.68889,50.84833
186,https://www.geonames.org/2995806,2.3,49
187,https://www.geonames.org/2886946,7.57883,50.35357
188,https://www.geonames.org/2880561,6.64879,51.11742
189,https://www.geonames.org/2852422,11.08762,48.58383
190,https://www.geonames.org/3026827,2.47124,49.19461
191,https://www.geonames.org/2996944,4.84671,45.74846
192,https://www.geonames.org/2995469,5.38107,43.29695
193,https://www.geonames.org/2997551,6.13333,48.76667
194,https://www.geonames.org/2863840,7.47057,50.4336
195,https://www.geonames.org/2991214,7.32866,47.75205
196,https://www.geonames.org/2979341,1.97705,47.91303
197,https://www.geonames.org/2882150,6.56931,51.08223
198,https://www.geonames.org/3028641,2.34863,43.21649
199,https://www.geonames.org/2792482,4.70093,50.87959
200,https://www.geonames.org/2884509,6.55381,51.33645
201,https://www.geonames.org/3038350,5.90863,45.69173
202,https://www.geonames.org/2807594,7.39865,51.1161
203,https://www.geonames.org/3029241,-0.35912,49.18585
204,https://www.geonames.org/2809733,6.40832,51.13135
205,https://www.geonames.org/2969284,4.87484,45.52569
206,https://www.geonames.org/2976478,3.04797,49.58828
207,https://www.geonames.org/6285414,15.73977,50.73609
208,https://www.geonames.org/2972191,0.70398,47.39484
209,https://www.geonames.org/3081368,17.03333,51.1
210,https://www.geonames.org/2747891,4.47917,51.9225
211,https://www.geonames.org/6269131,-0.70312,52.16045
212,https://www.geonames.org/2865689,6.59157,51.07066
213,https://www.geonames.org/3035418,0.14876,43.06497
214,https://www.geonames.org/2861650,11.07752,49.45421
215,https://www.geonames.org/2970140,-1.30407,46.64169
216,https://www.geonames.org/3066138,18,51
217,https://www.geonames.org/3026194,3.40304,49.04636
218,https://www.geonames.org/3170647,10.4036,43.70853
219,https://www.geonames.org/2891258,6.24603,51.58243
220,https://www.geonames.org/3196359,14.50513,46.05108
